class_1,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100,G101,G102,G103,G104,G105,G106,G107,G108,G109,G110,G111,G112,G113,G114,G115,G116,G117,G118,G119,G120,G121,G122,G123,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G135,G136,G137,G138,G139,G140,G141,G142,G143,G144,G145,G146,G147,G148,G149,G150,G151,G152,G153,G154,G155,G156,G157,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G168,G169,G170,G171,G172,G173,G174,G175,G176,G177,G178,G179,G180,G181,G182,G183,G184,G185,G186,G187,G188,G189,G190,G191,G192,G193,G194,G195,G196,G197,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G209,G210,G211,G212,G213,G214,G215,G216,G217,G218,G219,G220,G221,G222,G223,G224,G225,G226,G227,G228,G229,G230,G231,G232,G233,G234,G235,G236,G237,G238,G239,G240,G241,G242,G243,G244,G245,G246,G247,G248,G249,G250,G251,G252,G253,Unidentified
IRFL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411491.7916,0,0,0,0,0,0,0,0,0,0,0,60492.50535,0,0,0,0,0,0,0,0,0,0,0,0,0,24803.71163,0,0,0,0,0,0,0,0,0,0,0,0,356.8879372,0,0,0,6156.316916,8476.088508,21770.16417,0,0,0,0,0,0,0,0,0,0,1159.885796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116345.4675,44075.66024,0,0,51570.30692,30067.80871,0,0,0,0,0,0,0,0,0,0,25428.26552,0,10171.30621,0,0,0,0,0,0,0,0,0,3301.213419,0,0,0,0,0,0,0,0,0,0,0,16416.84511,0,0,0,0,0,0,0,0,0,8476.088508,0,0,0,17844.39686,0,0,0,0,0,0,7673.09065,0,0,0,0,0,0,0,0,0,2319.771592,0,0,0,0,0,0,0,0,0,3836.545325,1338.329764,0,0,0,0,0,0,5888.650964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38633.1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81905.78158
IRFL,0,0,0,4000.640102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32805.24884,0,0,0,0,0,0,0,0,0,0,29924.78797,0,0,0,0,0,0,6881.100976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55848.93583,0,7361.177788,0,0,0,2080.332853,10721.71547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15042.40679,0,0,5920.947352,22403.58457,0,0,0,6401.024164,0,0,0,0,0,0,11521.84349,0,0,0,0,0,1600.256041,0,0,0,0,0,0,0,0,0,12481.99712,0,0,0,0,0,0,0,2560.409666,0,0,2720.43527,0,0,0,0,20803.32853,0,0,0,0,148343.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2560.409666,640.1024164,1920.307249,0,0,0,34565.53048,0,0,24003.84061,14562.32997,0,0,0,0,0,0,0,0,0,4000.640102,0,0,0,0,0,0,0,2400.384061,0,0,0,0,0,79532.72524,29284.68555,0,0,0,0,121459.4335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3040.486478,30244.83917,0,0,0,0,0,0,54728.7566,0,0,16322.61162,0,0,0,0,0,0,0,0,0,181309.0094
IRFL,0,0,0,1439.397147,0,0,0,0,0,0,338.6816816,0,0,0,0,0,0,0,0,251301.8077,0,6011.599848,0,0,0,7323.991364,0,0,0,0,0,0,0,0,0,0,0,221794.1662,0,0,0,0,16849.41366,0,0,33698.82731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508.0225223,423.3521019,0,0,0,1778.078828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1608.737987,381.0168917,0,3937.174548,0,0,2794.123873,0,12573.55743,12361.88138,2667.118242,0,0,550.3577325,0,3725.498497,0,3598.492867,0,0,0,0,0,2032.090089,0,0,0,1862.749249,0,0,0,0,846.7042039,0,0,0,0,20447.90652,0,0,0,0,0,0,0,889.0394141,0,0,7874.349096,0,0,0,0,423.3521019,0,0,0,0,236823.1658,0,0,381.0168917,0,0,0,0,592.6929427,0,0,0,0,0,0,0,0,20109.22484,550.3577325,2201.43093,0,211.676051,0,5164.895644,5799.923797,0,0,15748.69819,0,0,0,0,0,0,0,0,0,3979.509758,0,0,0,0,0,0,0,127.0056306,0,6350.281529,0,0,0,3894.839338,2963.464714,0,0,0,0,1524.067567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2836.459083,0,0,0,0,4148.850599,719.6985733,0,0,0,0,0,592.6929427,0,0,0,0,0,0,0,0,0,0,0,0,65238.55891
IRFL,0,0,0,21568.42215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207412.8364,0,23243.63941,314.1032353,0,1779.918333,1936.969951,0,13192.33588,0,0,0,0,0,0,0,0,0,126531.2533,0,0,0,0,75698.8797,0,0,2931.630196,0,0,0,0,0,0,0,0,0,0,0,0,0,9946.60245,0,0,0,0,0,0,0,0,2722.228039,680.5570097,0,0,0,0,0,0,0,0,0,0,0,0,2041.671029,0,0,0,0,3612.187206,0,2722.228039,0,16438.06931,10417.7573,0,0,14082.29505,0,22510.73186,2146.372108,6072.662548,0,0,0,60726.62548,1099.361323,0,0,0,0,0,17328.02848,0,2512.825882,1832.268872,0,2722.228039,2983.980735,0,0,0,0,2826.929117,0,0,314.1032353,0,16699.82201,0,0,0,0,0,0,0,0,0,0,20416.71029,0,0,0,0,9894.251911,0,0,0,0,48371.89823,0,0,1308.76348,0,0,0,942.3097058,1779.918333,0,0,0,0,0,0,0,23138.93833,35179.56235,0,16542.77039,0,0,1308.76348,4973.301225,7224.374411,7433.776568,4502.146372,9841.901372,0,0,0,0,0,0,0,0,0,5130.352843,0,0,0,0,0,0,0,0,0,0,0,1570.516176,0,17485.0801,0,0,6177.363627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.1548529,3716.888284,0,0,0,0,0,0,0,0,0,0,2408.124804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7014.972254,86116.637
IRFL,0,0,0,394.2440371,0,0,0,0,0,0,640.6465602,0,0,0,0,0,0,0,0,159077.469,0,0,0,0,1133.451607,3104.671792,0,0,0,0,0,0,0,0,0,0,0,306229.0558,0,0,0,0,10299.62547,0,0,20944.21447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394.2440371,4238.123398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2316.183718,0,17839.54268,640.6465602,0,0,15769.76148,0,8870.490834,936.329588,8032.722255,0,0,1576.976148,936.329588,936.329588,0,0,0,344.9635324,0,2266.903213,0,14291.34634,0,0,0,0,0,0,0,5765.819042,2365.464222,0,0,0,0,18430.90873,0,0,0,0,0,0,0,0,0,0,20944.21447,0,0,0,0,0,0,0,0,0,21781.98305,2266.903213,0,0,0,0,2858.269269,0,5125.172482,0,0,0,0,0,0,0,1774.098167,8673.368815,0,98.56100926,0,0,0,0,0,4780.208949,0,5617.977528,0,0,0,0,5075.891977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79095.20993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8377.685788,0,0,0,0,0,0,0,0,0,0,0,11088.11354,0,0,0,0,4336.684408,0,0,0,0,0,0,492.8050463,0,0,0,0,0,0,0,640.6465602,0,0,0,0,209195.7422
IRFL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334158.4158,0,0,18151.81518,0,0,0,0,0,0,0,64356.43564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33003.30033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14851.48515,0,0,0,0,0,0,39603.9604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17326.73267,0,0,0,0,0,35478.54785,0,0,0,23927.39274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33828.38284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5775.577558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379537.9538
IRFL,0,0,0,1281.229981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200245.5691,0,32671.36451,0,0,0,0,0,0,0,0,0,45750.58723,0,0,0,0,0,261691.2236,0,0,0,0,37956.43818,0,0,3042.921204,0,0,0,0,0,0,0,0,0,0,0,0,0,2882.767457,0,0,0,0,907.5379031,0,0,0,0,12919.06897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4163.997438,0,1281.229981,0,0,1548.152893,0,0,23969.67756,0,0,6726.457399,8915.225283,0,0,0,10837.07025,2989.536622,0,1067.691651,0,0,0,10089.6861,0,1227.845398,0,0,0,0,0,0,0,3363.2287,1067.691651,0,0,0,0,2829.382874,0,0,0,0,0,0,0,1761.691224,0,0,22581.67841,0,0,0,0,1334.614563,0,0,0,0,61178.73158,0,0,0,0,0,1708.306641,0,1174.460816,0,0,0,0,0,0,0,1708.306641,8594.917788,1067.691651,480.4612428,0,106.7691651,0,2081.998719,22047.83259,6512.919069,800.768738,11477.68524,0,0,0,0,0,0,0,0,0,3843.689942,0,0,0,0,0,0,0,0,0,32778.13367,0,1761.691224,0,0,0,0,0,0,0,6619.688234,1815.075806,0,0,0,0,0,0,0,0,0,0,6245.996156,0,0,0,0,0,0,0,0,0,0,0,2295.537049,0,0,0,0,34486.44032,0,0,0,0,0,0,7420.456972,0,0,0,0,0,0,0,0,0,0,0,0,78688.87465
IRFL,0,0,0,2382.302893,0,0,0,0,0,0,1134.429949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42881.45207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1361.315939,0,0,0,0,0,11798.07147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110720.363,0,0,0,40612.59217,0,36982.41634,0,20192.85309,119682.3596,139761.7697,0,0,0,29041.40669,0,0,14407.26035,0,2722.631877,0,24049.91492,0,3062.960862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19965.9671,0,0,0,0,0,0,0,0,0,48667.04481,0,0,0,0,0,0,0,0,0,0,0,0,0,12705.61543,0,0,38230.28928,0,0,0,0,0,0,23369.25695,3857.061826,0,39931.9342,0,0,0,0,84515.0312,0,0,0,0,22121.384,0,0,0,30856.49461,0,0,0,2268.859898,0,12365.28644,0,0,0,0,11571.18548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48780.4878
IRFL,1142.922453,0,0,12572.14698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91262.35785,0,3257.32899,0,0,2342.991028,2514.429396,0,0,0,0,0,6057.488999,0,0,0,0,0,75661.46637,0,4457.397566,0,0,23144.17967,0,17601.00577,8800.502886,0,0,0,0,0,0,0,0,0,0,0,0,0,114.2922453,0,0,0,0,0,0,0,0,4114.52083,628.607349,0,0,0,0,0,0,0,0,0,0,5200.29716,114.2922453,3657.351849,0,0,0,0,2342.991028,0,0,0,1885.822047,0,0,0,4400.251443,0,4971.712669,0,8343.333905,3828.790217,0,0,0,0,0,0,0,0,0,6686.096348,0,2971.598377,13943.65392,1257.214698,0,1142.922453,0,0,0,0,0,0,0,0,0,2457.283273,0,0,0,0,0,0,0,0,0,0,52974.45568,0,0,0,0,0,0,0,971.4840848,0,137093.5482,0,0,0,0,628.607349,0,0,4457.397566,2171.55266,0,0,0,0,628.607349,0,12057.83188,96119.77827,0,13715.06943,0,0,17772.44414,5028.858792,50460.02629,6686.096348,8171.895537,0,0,0,0,0,4171.666952,0,0,0,0,0,0,0,0,1600.091434,0,0,571.4612264,0,0,514.3151037,0,0,0,70975.48431,0,6800.388594,3085.890622,0,0,857.1918395,0,0,0,0,0,0,0,0,0,0,0,400.0228584,17543.85965,0,0,0,0,5028.858792,0,0,0,0,0,914.3379622,0,0,0,0,10172.00983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.4840848,150580.0331
IRFL,0,0,0,1051.589756,0,0,0,0,0,0,5257.948781,0,0,0,0,123.7164419,0,0,1855.746629,254113.5717,0,0,0,0,680.4404305,3340.343932,0,0,0,0,0,0,0,0,0,0,0,191822.3432,0,0,0,0,0,0,0,24248.42262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237.164419,0,0,10082.89002,33589.01398,0,54558.95088,9402.449586,29691.94606,0,0,0,0,28825.93097,0,0,0,0,0,16516.145,0,7732.27762,0,0,0,0,0,0,0,29197.08029,0,0,0,0,0,4886.799456,0,0,0,0,0,0,0,0,0,0,742.2986515,0,0,0,0,1360.880861,0,0,0,0,9773.598911,2474.328838,0,0,0,0,0,0,1546.455524,0,0,0,0,0,0,0,0,0,1360.880861,0,0,0,0,0,0,0,0,5010.515898,0,0,0,0,0,0,0,0,0,4391.933688,0,0,0,866.0150934,0,0,0,0,0,0,0,20165.78003,0,48125.6959,0,0,0,0,0,1546.455524,13856.24149,0,0,0,0,309.2911048,0,0,0,0,0,5938.389212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.4328838,0,0,0,0,0,0,0,0,0,0,0,0,174069.0338
